call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,churn,avg_usage_per_month,monthly_call_frequency,monthly_sms_frequency,has_complaint,has_call_failures,activity_score,customer_value_group
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,115.0,1.868421052631579,0.13157894736842105,0,1,93,Medium
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0,8.153846153846153,0.1282051282051282,0.1794871794871795,0,0,16,Low
10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,0,66.29729729729729,1.6216216216216217,9.702702702702704,0,1,443,Very High
10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0,110.47368421052632,1.736842105263158,0.02631578947368421,0,1,102,High
3,0,38,0,2393,58,2,33,1,1,1,15,145.805,0,62.973684210526315,1.5263157894736843,0.05263157894736842,0,1,93,Medium
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0,99.34210526315789,2.1578947368421053,0.8421052631578947,0,1,142,High
4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0,62.10526315789474,1.0263157894736843,7.5,0,1,342,Very High
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,246.35135135135135,3.27027027027027,3.891891891891892,0,1,308,Very High
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0,362.44736842105266,4.447368421052632,0.0,0,1,213,High
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0,118.8157894736842,2.1842105263157894,0.05263157894736842,0,1,110,Medium
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0,155.73684210526315,2.5,0.18421052631578946,0,1,114,High
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0,58.89473684210526,1.4210526315789473,0.21052631578947367,0,1,79,Medium
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0,398.42105263157896,5.921052631578948,1.4210526315789473,0,1,311,Very High
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0,81.44736842105263,0.7105263157894737,12.710526315789474,0,1,518,Very High
9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,418.5135135135135,4.918918918918919,4.054054054054054,0,1,362,Very High
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,175.67567567567568,2.324324324324324,5.027027027027027,0,1,298,Very High
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1,23.64864864864865,0.3783783783783784,0.0,0,0,25,Low
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,18.68421052631579,0.3684210526315789,0.34210526315789475,0,1,35,Low
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0,0,0,Low
3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,202.9189189189189,3.4324324324324325,10.378378378378379,0,1,554,Very High
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0,309.86486486486484,4.162162162162162,0.2972972972972973,0,1,212,High
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0,181.56756756756758,2.027027027027027,2.918918918918919,0,1,220,Very High
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1,28.939393939393938,1.4242424242424243,0.48484848484848486,1,1,80,Low
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0,289.8611111111111,2.5833333333333335,0.027777777777777776,1,1,136,Medium
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1,161.61111111111111,2.7222222222222223,0.7222222222222222,1,1,148,High
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,83.52941176470588,0.6470588235294118,0.0,0,1,36,Low
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1,85.42857142857143,1.1714285714285715,0.2571428571428571,0,1,66,Medium
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1,63.0,1.2222222222222223,0.9444444444444444,1,1,109,Medium
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1,3.6944444444444446,0.05555555555555555,0.0,0,0,4,Low
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0,46.333333333333336,0.6944444444444444,0.0,0,1,31,Low
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,0,205.6060606060606,2.9393939393939394,0.42424242424242425,0,1,133,Medium
0,1,36,0,628,7,9,4,4,1,2,45,38.375,1,17.444444444444443,0.19444444444444445,0.25,1,0,20,Low
0,0,36,1,338,4,4,2,5,1,1,55,11.13,0,9.38888888888889,0.1111111111111111,0.1111111111111111,0,0,10,Low
